filename,category
session - 2026-08-16.txt,NotStudy
report_financial_2024-06-15.xlsx,NotStudy
Отчет6_v5.pptx,Study
prototype - 2026-02-10.docx,NotStudy
Задание_Johnson.pptx,Study
ЛР5 Brown .pdf,Study
receipt_2021.pptx,NotStudy
10ПЗ1.pdf,Study
receipt_2025.pdf,NotStudy
keygen 12.txt,NotStudy
4Задание.pdf,Study
Реферат_6_Smith.docx,Study
sketch_2021.xlsx,NotStudy
ПЗ1 Smith-3.txt,Study
screenshot_2024-09-15.xlsx,NotStudy
КП-МК №7.docx,Study
ЛР4 6.pdf,Study
Лаб №8.docx,Study
Лекция4_v5.docx,Study
export_2025.pdf,NotStudy
Курсовая Климович-7.pdf,Study
Аналитика по предприятиям_2019-12-08.txt,NotStudy
log_2025-03-14.xlsx,NotStudy
Задание Петров 2025-09-05.xlsx,Study
ЛР8 Smith-3.xlsx,Study
sales_2022.pptx,NotStudy
update_2020-01-03.txt,NotStudy
video_2026.pptx,NotStudy
10Титульный лист.pdf,Study
Лаба 1 3.docx,Study
7Титульный лист.pdf,Study
torrent_2019-04-25.xlsx,NotStudy
config(33).xlsx,NotStudy
audio_2025-08-08.xlsx,NotStudy
Практикум2.docx,Study
data_2023-03-09.xlsx,NotStudy
accounting_40_2018-09-09.xlsx,NotStudy
Вопросы на экзамен(9).docx,Study
config(10).txt,NotStudy
Практика №4.pdf,Study
3ЛР.xlsx,Study
Приложение - 2024-10-15.docx,NotStudy
Работа8.pptx,Study
seminar_2_Петров.pdf,Study
essay(7).docx,Study
Основные средства(5).pdf,NotStudy
Лаб15.docx,Study
config_2021-02-19.pdf,NotStudy
backup - 2026-02-10.docx,NotStudy
Авторский договор - 2026-08-10.pptx,NotStudy
Домашняя_3_Климович.pptx,Study
ЛР86.docx,Study
report_financial_81_2019-07-20.pptx,NotStudy
4ЛР.xlsx,Study
Исходные_данные_для_лабораторной_10_Петров.pdf,Study
Лаб2 1.docx,Study
cache 20.pptx,NotStudy
ПЗ1 №5.xlsx,Study
audio 18.xlsx,NotStudy
Лаб1.txt,Study
budget_85_2018-12-02.docx,NotStudy
Работа Сидоров 2020-08-17.pdf,Study
Trendy-potrebleniya(3).pptx,NotStudy
Экзамен2.pdf,Study
report_financial_2023.pdf,NotStudy
ЛР3 Сидоров 2023-05-20.pdf,Study
Самостоятельная Климович-10.docx,Study
misc47.pptx,NotStudy
payment_2020.pdf,NotStudy
mockup - 2023-10-08.pdf,NotStudy
lecture 2.xlsx,Study
Практикум_Иванов.docx,Study
ЛР10_5_Петров.docx,Study
misc_2023.txt,NotStudy
Лаба 14_v3.xlsx,Study
Тема 20 3.txt,Study
Работа 10.xlsx,Study
report_financial_2021.docx,NotStudy
bill_50_2018-09-28.xlsx,NotStudy
settings_2021-10-09.pptx,NotStudy
