filename_len,filename_token_count,filename_digit_ratio,filename_word_count,filename_has_date,kw_documents,kw_images,kw_archives,kw_code,kw_media,kw_other,size_bytes,log_size,size_kb,size_mb,size_tiny,size_small,size_medium,size_large,size_huge,ext_group_code,ext_group_doc,ext_group_img,ext_group_arc,ext_group_audio,ext_group_video,ext_group_other,ext_cat_documents,ext_cat_images,ext_cat_archives,ext_cat_code,ext_cat_media,ext_cat_other,ext_mismatch,detected_cat_other,detected_is_text,detected_cat_documents,detected_cat_images,detected_cat_archives,detected_cat_code,detected_cat_media,text_length,text_word_count,text_line_count,text_unique_word_ratio,text_avg_word_len,text_has_content,content_raw,binary_entropy,binary_first_bytes_hash,binary_zero_ratio,binary_printable_ratio,binary_has_content,filename_raw,file_path,file_name,extension,target_class
11,2,0.36363636363636365,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,budget_2020,synthetic_data/documents/budget_2020.rtf,budget_2020.rtf,rtf,documents
13,2,0.3076923076923077,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,contract_3272,synthetic_data/documents/contract_3272.xls,contract_3272.xls,xls,documents
11,3,0.2727272727272727,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,379,5.940171252720432,0.3701171875,0.00036144256591796875,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,379,50,1,0.34,6.6,1.0,summary revenue data statement the annual annual report annual project department quarter the project revenue annual financial summary project analysis profit meeting annual loss report financial summary the summary department project report department annual results annual financial financial the data loss annual company meeting results financial report revenue company report,0,0,0,0,0.0,resume_f669,synthetic_data/documents/resume_f669.csv,resume_f669.csv,csv,documents
17,4,0.47058823529411764,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,report_2023-05-12,synthetic_data/documents/report_2023-05-12.xls,report_2023-05-12.xls,xls,documents
11,2,0.36363636363636365,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,budget_2024,synthetic_data/documents/budget_2024.pptx,budget_2024.pptx,pptx,documents
17,4,0.47058823529411764,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,report_2020-04-05,synthetic_data/documents/report_2020-04-05.odp,report_2020-04-05.odp,odp,documents
11,3,0.2727272727272727,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,resume_c401,synthetic_data/documents/resume_c401.ppt,resume_c401.ppt,ppt,documents
13,2,0.3076923076923077,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,document_2222,synthetic_data/documents/document_2222.rtf,document_2222.rtf,rtf,documents
13,2,0.3076923076923077,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,document_9312,synthetic_data/documents/document_9312.ppt,document_9312.ppt,ppt,documents
18,2,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4096,8.318010277546872,4.0,0.00390625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0.0,presentation_sales,synthetic_data/documents/presentation_sales.rtf,presentation_sales.rtf,rtf,documents
